Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-303.48125,-270.399501,180,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-278.60625,-277.543251,0,bottom
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-278.60625,-284.687001,180,bottom
C4,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-287.671875,-290.421376,-90,bottom
C5,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-296.3375,-291.155751,0,bottom
C6,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-306.65625,-274.368251,-90,bottom
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-306.65625,-282.305751,90,bottom
D1,D_Small,D_SOD-123,-121.44375,-210.34375,90,bottom
D2,D_Small,D_SOD-123,-121.44375,-229.243251,90,bottom
D3,D_Small,D_SOD-123,-121.44375,-248.293251,90,bottom
D4,D_Small,D_SOD-123,-121.44375,-267.49375,90,bottom
D5,D_Small,D_SOD-123,-130.96875,-286.54375,90,bottom
D6,D_Small,D_SOD-123,-140.49375,-210.34375,90,bottom
D7,D_Small,D_SOD-123,-140.49375,-229.243251,90,bottom
D8,D_Small,D_SOD-123,-140.49375,-248.293251,90,bottom
D9,D_Small,D_SOD-123,-140.49375,-267.343251,90,bottom
D10,D_Small,D_SOD-123,-159.54375,-286.54375,90,bottom
D11,D_Small,D_SOD-123,-159.54375,-210.34375,90,bottom
D12,D_Small,D_SOD-123,-159.54375,-229.243251,90,bottom
D13,D_Small,D_SOD-123,-159.54375,-248.293251,90,bottom
D14,D_Small,D_SOD-123,-159.54375,-267.343251,90,bottom
D15,D_Small,D_SOD-123,-173.98125,-276.868251,90,bottom
D16,D_Small,D_SOD-123,-178.59375,-210.193251,90,bottom
D17,D_Small,D_SOD-123,-212.08125,-229.243251,90,bottom
D18,D_Small,D_SOD-123,-177.00625,-238.768251,90,bottom
D19,D_Small,D_SOD-123,-207.31875,-210.193251,90,bottom
D20,D_Small,D_SOD-123,-235.89375,-229.243251,90,bottom
D21,D_Small,D_SOD-123,-214.4625,-248.293251,90,bottom
D22,D_Small,D_SOD-123,-218.43125,-267.343251,90,bottom
D23,D_Small,D_SOD-123,-209.7,-286.393251,90,bottom
D24,D_Small,D_SOD-123,-226.36875,-210.193251,90,bottom
D25,D_Small,D_SOD-123,-254.94375,-229.243251,90,bottom
D26,D_Small,D_SOD-123,-240.65625,-248.293251,90,bottom
D27,D_Small,D_SOD-123,-250.18125,-267.343251,90,bottom
D28,D_Small,D_SOD-123,-233.5125,-286.393251,90,bottom
D29,D_Small,D_SOD-123,-245.41875,-210.193251,90,bottom
D30,D_Small,D_SOD-123,-273.99375,-229.243251,90,bottom
D31,D_Small,D_SOD-123,-259.70625,-248.293251,90,bottom
D32,D_Small,D_SOD-123,-269.23125,-267.343251,90,bottom
D33,D_Small,D_SOD-123,-257.325,-286.393251,90,bottom
D34,D_Small,D_SOD-123,-264.46875,-210.193251,90,bottom
D35,D_Small,D_SOD-123,-293.04375,-229.243251,90,bottom
D36,D_Small,D_SOD-123,-278.75625,-248.293251,90,bottom
D37,D_Small,D_SOD-123,-288.28125,-257.818251,90,bottom
D38,D_Small,D_SOD-123,-283.51875,-210.193251,90,bottom
D39,D_Small,D_SOD-123,-296.21875,-229.243251,90,bottom
D40,D_Small,D_SOD-123,-297.80625,-248.293251,90,bottom
D41,D_Small,D_SOD-123,-307.33125,-257.818251,90,bottom
D42,D_Small,D_SOD-123,-302.56875,-210.193251,90,bottom
D43,D_Small,D_SOD-123,-331.14375,-229.243251,90,bottom
D44,D_Small,D_SOD-123,-300.98125,-248.293251,90,bottom
D45,D_Small,D_SOD-123,-310.50625,-257.818251,90,bottom
D46,D_Small,D_SOD-123,-305.74375,-210.193251,90,bottom
D47,D_Small,D_SOD-123,-350.19375,-229.243251,90,bottom
D48,D_Small,D_SOD-123,-335.90625,-248.293251,90,bottom
D49,D_Small,D_SOD-123,-345.43125,-267.343251,90,bottom
D50,D_Small,D_SOD-123,-331.3025,-274.963251,-90,bottom
D51,D_Small,D_SOD-123,-340.66875,-210.193251,90,bottom
D52,D_Small,D_SOD-123,-369.24375,-229.243251,90,bottom
D53,D_Small,D_SOD-123,-354.95625,-248.293251,90,bottom
D54,D_Small,D_SOD-123,-364.48125,-267.343251,90,bottom
D55,D_Small,D_SOD-123,-359.71875,-210.193251,90,bottom
D56,D_Small,D_SOD-123,-388.29375,-229.243251,90,bottom
D57,D_Small,D_SOD-123,-374.00625,-248.293251,90,bottom
D58,D_Small,D_SOD-123,-383.53125,-267.343251,90,bottom
D59,D_Small,D_SOD-123,-397.81875,-286.393251,90,bottom
D60,D_Small,D_SOD-123,-378.76875,-210.193251,90,bottom
D61,D_Small,D_SOD-123,-407.34375,-229.243251,90,bottom
D62,D_Small,D_SOD-123,-393.05625,-248.293251,90,bottom
D63,D_Small,D_SOD-123,-402.58125,-267.343251,90,bottom
D64,D_Small,D_SOD-123,-416.86875,-286.393251,90,bottom
D65,D_Small,D_SOD-123,-397.81875,-210.193251,90,bottom
D66,D_Small,D_SOD-123,-426.39375,-229.243251,90,bottom
D67,D_Small,D_SOD-123,-412.10625,-248.293251,90,bottom
D68,D_Small,D_SOD-123,-421.63125,-267.343251,90,bottom
D69,D_Small,D_SOD-123,-435.91875,-286.393251,90,bottom
D70,D_Small,D_SOD-123,-416.86875,-210.193251,90,bottom
D71,D_Small,D_SOD-123,-445.44375,-229.243251,90,bottom
D72,D_Small,D_SOD-123,-431.15625,-248.293251,90,bottom
D73,D_Small,D_SOD-123,-450.05625,-267.343251,90,bottom
D74,D_Small,D_SOD-123,-464.34375,-291.30625,90,bottom
D75,D_Small,D_SOD-123,-435.91875,-210.193251,90,bottom
D76,D_Small,D_SOD-123,-469.25625,-229.243251,90,bottom
D77,D_Small,D_SOD-123,-462.1125,-248.293251,90,bottom
D78,D_Small,D_SOD-123,-483.39375,-272.105751,90,bottom
D79,D_Small,D_SOD-123,-483.39375,-291.30625,90,bottom
D80,D_Small,D_SOD-123,-464.49375,-210.193251,90,bottom
D81,D_Small,D_SOD-123,-491.33125,-228.6,90,bottom
D82,D_Small,D_SOD-123,-491.33125,-248.44375,90,bottom
D83,D_Small,D_SOD-123,-491.33125,-267.49375,90,bottom
D84,D_Small,D_SOD-123,-489.74375,-278.138251,0,bottom
J1,SM04B-SRSS-TB(LF)(SN),JST-SR-4,-335.38125,-291.155751,-90,bottom
R1,22,R_0805_2012Metric,-316.0625,-291.949501,180,bottom
R2,22,R_0805_2012Metric,-315.68125,-294.330751,180,bottom
R3,10k,R_0805_2012Metric,-285.415625,-290.665126,-90,bottom
R4,10k,R_0805_2012Metric,-299.39375,-270.518251,90,bottom
SW1,SW_PUSH,SKQG-1155865,-278.75625,-291.155751,0,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,-295.4,-279.105751,90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-278.60625,-281.024501,90,bottom
